id,name,type,details,is_active,icon,address,affiliate_link,app_link,bot_icon,promo_code,show_in_comp
CMP1XB001,1XBET,both,أكبر شركات المراهنة في العالم,yes,,Cyprus,https://reffpa.com/L?tag=d_5955825m_45361c_&site=5955825&ad=45361,https://reffpa.com/L?tag=d_5955825m_2528c_&site=5955825&ad=2528,,vexwallet,yes
CMPMLB002,MELBET,both,شركة مراهنة مرخصة بواجهة عربية,yes,,Cyprus,https://refpa39407.com/L?tag=d_5074314m_59685c_11&site=5074314&ad=59685&r=affilat,https://refpa3665.com/L?tag=d_5074314m_70867c_&site=5074314&ad=70867,,ml_3154096,yes
CMPBJ003,BETJAM,both,شركة مراهنة ناشئة بواجهة حديثة,yes,,Cyprus,https://refpa5124.com/L?tag=d_5089740m_96332c_&site=5089740&ad=96332,https://refpa5124.com/L?tag=d_5089740m_97988c_&site=5089740&ad=97988,,VEDO2002,yes
CMPMB004,MOSTBET,both,شركة مراهنة روسية سريعة السحب,yes,,Cyprus,https://mostbetegypt.com/0E2F,https://vgfiiimb.com/68fU,,vedo2002,yes
CMPXP005,XPARI,both,منصة مراهنة عالمية,yes,,Cyprus,https://xp-aff.com/L?tag=d_5912007m_64821c_site&site=5912007&ad=64821&r=registration,https://xp-aff.com/L?tag=d_5912007m_71587c_apk1&site=5912007&ad=71587,,vedo2002,yes
CMPBB006,BIZBET,both,شركة مراهنة موثوقة,yes,,Cyprus,https://refpa83754.com/L?tag=d_5749248m_88828c_&site=5749248&ad=88828,https://refpa83754.com/L?tag=d_5749248m_67005c_&site=5749248&ad=67005,,bi_9258,yes
CMPLB007,LINEBET,both,منصة مراهنة احترافية,yes,,Cyprus,https://lb-aff.com/L?tag=d_5911847m_22611c_site&site=5911847&ad=22611&r=registration,https://lb-aff.com/L?tag=d_5911847m_66803c_apk1&site=5911847&ad=66803,,VEDO2002,yes
CMPGB008,GOOOBET,both,شركة مراهنة ناشئة,yes,,Cyprus,https://gooobetaffiliate.com/L?tag=d_4531176m_95710c_&site=4531176&ad=95710,https://gooobetaffiliate.com/L?tag=d_4531176m_109867c_&site=4531176&ad=109867,,Vex,yes
